model,denominator,coef,ci_low,ci_high,p_value,se_type
O-A,primary_2023_population,656.2215828921608,326.8904662700241,985.5526995142976,9.406856010104173e-05,HC3
O-A,primary_2023_population,656.2215828921608,333.64420788159185,978.7989579027296,0.000172096134675,classical_ols
O-A,primary_2023_population,0.5212506389896157,0.259655989478274,0.7828452885009574,9.406856010104392e-05,HC3
O-B,primary_2023_population,306.1424530064647,-71.25212861275719,683.5370346256866,0.1118522481853463,HC3
O-B,primary_2023_population,306.1424530064647,-75.95666737389183,688.2415733868212,0.1135170301892595,classical_ols
O-B,primary_2023_population,0.2431754050943674,-0.056597068028579,0.5429478782173139,0.1118522481853453,HC3
O-C,primary_2023_population,94.09053446984012,-302.428387297874,490.60945623755424,0.6418722919828811,HC3
O-C,primary_2023_population,94.09053446984012,-367.3397981970197,555.5208671367,0.6829500145512026,classical_ols
O-C,primary_2023_population,0.0747380953231142,-0.2402252443951092,0.3897014350413377,0.6418722919828762,HC3
O-D,primary_2023_population,-9.410358391724005,-493.89882769158,475.078110908132,0.9696327138941258,HC3
O-D,primary_2023_population,-9.410358391724005,-470.5640938220927,451.7433770386447,0.967346575242224,classical_ols
O-D,primary_2023_population,-0.0074748460774308,-0.3923142521399928,0.3773645599851312,0.9696327138941292,HC3
O-A,legacy_2020_population,723.3652289906804,377.53489913239616,1069.1955588489643,4.1384529242567125e-05,HC3
O-A,legacy_2020_population,723.3652289906804,376.52046379841727,1070.2099941829435,0.0001242769692627,classical_ols
O-A,legacy_2020_population,0.5307168706500576,0.276988901593045,0.78444483970707,4.138452924256835e-05,HC3
O-B,legacy_2020_population,310.1794600767132,-87.0436924776049,707.4026126310314,0.1258989067684127,HC3
O-B,legacy_2020_population,310.1794600767132,-92.23429224176834,712.5932123951948,0.1274821461156248,classical_ols
O-B,legacy_2020_population,0.2275717242056691,-0.0638620080564239,0.5190054564677622,0.1258989067684116,HC3
O-C,legacy_2020_population,76.48662029802654,-340.1847559597939,493.157996555847,0.719009877818324,HC3
O-C,legacy_2020_population,76.48662029802654,-408.1049999220688,561.0782405181219,0.7517912950987902,classical_ols
O-C,legacy_2020_population,0.0561165205961142,-0.2495859379054565,0.361818979097685,0.7190098778183196,HC3
O-D,legacy_2020_population,-31.778403941592728,-536.845028700135,473.2882208169496,0.9018541570231776,HC3
O-D,legacy_2020_population,-31.778403941592728,-516.2468318212835,452.6900239380981,0.8953199992993934,classical_ols
O-D,legacy_2020_population,-0.0233151033782304,-0.3938711763258518,0.3472409695693907,0.9018541570231816,HC3
