excluded_pref_code,n,exposure_coef,ci_low,ci_high,p_value
01,46,20.378943147864575,-174.9563314767184,215.71421777244757,0.8379790689037789
02,46,-44.73137244379387,-257.10325101815,167.64050613056227,0.6797367028683103
03,46,-27.03412445063026,-230.58536329926181,176.5171143980013,0.7946266023217623
04,46,-27.240746211442826,-229.74805856809175,175.2665661452061,0.7920502790906547
05,46,-22.831435730268907,-227.9260504632641,182.26317900272628,0.8272841238071966
06,46,-23.486201249652254,-230.48443986069861,183.5120373613941,0.8240186803483476
07,46,-29.87378722030013,-232.0426145094058,172.29504006880555,0.7721091927376429
08,46,-29.32395772830671,-234.20813595365118,175.56022049703776,0.7790793645831049
09,46,-26.129126558529066,-228.49153632294207,176.23328320588394,0.8002130060806456
10,46,-26.997866838070053,-229.04457327021703,175.04883959407692,0.793403064301371
11,46,-22.008533446427577,-222.0299950830649,178.01292819020975,0.8292554934593348
12,46,-22.341341785974095,-222.60080246794027,177.91811889599208,0.8269168880753693
13,46,-26.89955633582568,-275.11697969471936,221.31786702306798,0.8317925316054786
14,46,-16.353814186973324,-217.14632215572647,184.43869378177982,0.8731710593737125
15,46,-40.29515629970547,-243.8569780823181,163.26666548290717,0.6980339626359096
16,46,-46.116587722158386,-253.1517187058979,160.91854326158114,0.6624178842597288
17,46,-36.539972037868665,-244.20688513696473,171.1269410612274,0.7301959394628463
18,46,-41.079248019289,-259.46754049028,177.309044451702,0.7123715454823698
19,46,-26.118757128508207,-229.04577251385004,176.80825825683362,0.8008345644733476
20,46,-25.86466610100649,-230.17147486529308,178.4421426632801,0.8040369845633596
21,46,-19.148229334991328,-221.4660946852861,183.16963601530344,0.852837361558058
22,46,-24.47972556062794,-225.9481280200612,176.98867689880532,0.8117659860177691
23,46,-23.41699793308905,-228.10039375495907,181.26639788878097,0.8225771447073288
24,46,-26.089673844439318,-228.1212261557382,175.94187846685958,0.8001885093041763
25,46,-29.045352060059997,-240.3733587817701,182.2826546616501,0.7876361628417751
26,46,-24.209358764224845,-228.46759802344243,180.04888049499274,0.8163039391088016
27,46,-51.49766524920551,-271.3899948592606,168.39466436084953,0.6462244019297991
28,46,-23.54489219918699,-231.8242370686649,184.73445267029092,0.8246535491375793
29,46,-26.03008036887988,-228.27936593048162,176.21920519272186,0.8008453956704071
30,46,-51.1938947721151,-253.77820001397905,151.39041046974884,0.6203946990779861
31,46,-17.587787642709458,-220.2688342832684,185.0932589978495,0.8649494029178404
32,46,-21.17090850218736,-222.20011896781767,179.85830196344295,0.8364715193851402
33,46,-0.29500670441390753,-191.3536019308562,190.76358852202839,0.9975853577502322
34,46,-57.5870477433007,-253.17349533396705,137.99939984736565,0.5638870983808123
35,46,-9.78291384480022,-222.6701046160179,203.10427692641747,0.928233792917212
36,46,-32.30951831958106,-235.46590219183108,170.84686555266896,0.7552623646514689
37,46,-4.218462454997308,-204.8267179473529,196.3897930373583,0.9671246337299031
38,46,-29.416525230710562,-240.30197910072928,181.46892863930816,0.7845484975599477
39,46,12.580833287108248,-181.56487361985123,206.72654019406772,0.8989343839323122
40,46,-27.825211510531574,-229.8734361970104,174.22301317594724,0.7872234923842218
41,46,2.600640033820582,-205.13557146061225,210.33685152825342,0.9804245112952209
42,46,-15.20575091365103,-219.18236919131223,188.77086736401017,0.8838357115649751
43,46,-15.72116046693634,-220.0884013389276,188.64608040505493,0.8801553789101487
44,46,-36.95922674535504,-238.45645894566493,164.53800545495486,0.7192192279704918
45,46,-21.769924064563497,-229.25685215212644,185.71700402299945,0.8370696628313158
46,46,-47.23503566471395,-253.68095619459035,159.21088486516243,0.6538344205209475
47,46,-29.353246154810165,-232.48012369031977,173.77363138069944,0.7770017412237968
