model,variable,coef,se,ci_low,ci_high,p_value,se_type,coef_type
model0,original_elderly_solo_household_pct,656.2215828921608,168.02916748463673,326.8904662700241,985.5526995142975,9.406856010104171e-05,HC3,unstandardized
model0,original_elderly_solo_household_pct,656.2215828921608,160.15929310848924,333.64420788159185,978.7989579027296,0.00017209613467507453,classical_ols,unstandardized
model0,original_elderly_solo_household_pct,0.5212506389896157,,0.259655989478274,0.7828452885009574,9.406856010104392e-05,HC3,standardized
model1,older_living_alone_pct,0.25497939777025636,127.56421687170807,-249.76629138683427,250.27625018237478,0.9984051641257878,HC3,unstandardized
model1,older_living_alone_pct,0.25497939777025636,113.81776142104783,-228.98575959519383,229.49571839073434,0.9982224484968794,classical_ols,unstandardized
model1,older_living_alone_pct,0.00033395563068772116,,-0.3271278389316348,0.3277957501930102,0.9984051641257888,HC3,standardized
model2,older_living_alone_pct,117.57465522044626,93.92682242906723,-66.51853392281447,301.667844363707,0.2106541631008051,HC3,unstandardized
model2,ageing_rate_pct,454.5061233574861,76.15041337909526,305.2540557266223,603.75819098835,2.3939877170636624e-09,HC3,unstandardized
model2,older_living_alone_pct,117.57465522044626,93.53076375206474,-70.92421325842514,306.07352369931766,0.21536062152983762,classical_ols,unstandardized
model2,ageing_rate_pct,454.5061233574861,87.8033014892869,277.5501966068675,631.4620501081047,5.373106297007297e-06,classical_ols,unstandardized
model2,older_living_alone_pct,0.15399172827460259,,-0.08712170137230077,0.3951051579215059,0.21065416310080443,HC3,standardized
model2,ageing_rate_pct,0.6341135778528728,,0.42588148208217236,0.8423456736235733,2.3939877170635313e-09,HC3,standardized
model3,older_living_alone_pct,1.630946360206167,91.44499965510992,-177.59795953008694,180.85985225049927,0.9857702669558353,HC3,unstandardized
model3,ageing_rate_pct,242.85373071697592,96.54644577913717,53.62617415451794,432.0812872794339,0.011889460332124728,HC3,unstandardized
model3,general_hospital_beds_per_100k,5.8894347310130115,2.7962263966960377,0.40893170086856756,11.369937761157455,0.03518627847763803,HC3,unstandardized
model3,older_living_alone_pct,1.630946360206167,110.70833745399568,-221.63369417274845,224.89558689316078,0.9883141960536749,classical_ols,unstandardized
model3,ageing_rate_pct,242.85373071697592,143.2034733431909,-45.9435968765668,531.6510583105187,0.09714136182697419,classical_ols,unstandardized
model3,general_hospital_beds_per_100k,5.8894347310130115,3.196447465822702,-0.5568159385531777,12.335685400579202,0.07230476342890972,classical_ols,unstandardized
model3,older_living_alone_pct,0.002136108740957335,,-0.23260639527118893,0.23687861275310357,0.9857702669558285,HC3,standardized
model3,ageing_rate_pct,0.33882238360677996,,0.07481766121979644,0.6028271059937635,0.011889460332124326,HC3,standardized
model3,general_hospital_beds_per_100k,0.3660628689038412,,0.02541750073523913,0.7067082370724433,0.03518627847763891,HC3,standardized
model4,older_living_alone_pct,-25.730779441124042,103.14149644225542,-227.88439777951078,176.4228388972627,0.8029967166298337,HC3,unstandardized
model4,ageing_rate_pct,344.427380585637,152.88250170827965,44.78318337102564,644.0715778002484,0.024266118005191604,HC3,unstandardized
model4,general_hospital_beds_per_100k,5.495383899252299,3.0654406670524654,-0.5127694049149722,11.503537203419569,0.07302255494027593,HC3,unstandardized
model4,wbgt_days_ge28,44.55313472664388,41.231585100365145,-36.25928709557011,125.36555654885788,0.2798936054298229,HC3,unstandardized
model4,older_living_alone_pct,-25.730779441124042,108.03811054683233,-243.7605135427627,192.29895466051462,0.812912110974945,classical_ols,unstandardized
model4,ageing_rate_pct,344.427380585637,147.82007593567792,46.11439003061247,642.7403711406616,0.02468297056284174,classical_ols,unstandardized
model4,general_hospital_beds_per_100k,5.495383899252299,3.1000501210104776,-0.7607705277790489,11.751538326283647,0.0835354979322892,classical_ols,unstandardized
model4,wbgt_days_ge28,44.55313472664388,22.54392221131038,-0.9423421977639066,90.04861165105167,0.05471491238575351,classical_ols,unstandardized
model4,older_living_alone_pct,-0.03370052149897573,,-0.298468340775382,0.2310672977774305,0.8029967166298356,HC3,standardized
model4,ageing_rate_pct,0.4805349529732674,,0.06248018052048632,0.8985897254260485,0.024266118005191763,HC3,standardized
model4,general_hospital_beds_per_100k,0.3415703013559427,,-0.031871622324104676,0.71501222503599,0.07302255494027879,HC3,standardized
model4,wbgt_days_ge28,0.2625268334852478,,-0.21365580410978463,0.7387094710802802,0.2798936054298262,HC3,standardized
