excluded_pref_code,n,exposure_coef,ci_low,ci_high,p_value
01,46,86.42890210170057,-378.8429800681155,551.7007842715167,0.7157961069332603
02,46,-56.7430560133063,-576.6927386647607,463.2066266381481,0.8306293761997552
03,46,-16.67504471684839,-502.0864078709021,468.73631843720534,0.946319420918748
04,46,-12.658157622400381,-501.4443651415276,476.12804989672685,0.9595188108821205
05,46,-7.795851899833849,-495.0348749373274,479.4431711376597,0.9749828120581945
06,46,-0.7338647091193025,-511.4522069822409,509.9844775640023,0.9977529014158454
07,46,-20.31008511932481,-507.68759398489055,467.06742374624093,0.9349043802161993
08,46,-20.196647966524154,-514.9069385273044,474.51364259425617,0.9362245884685703
09,46,-10.108687253824598,-495.12229747961794,474.90492297196874,0.9674157134617101
10,46,-10.235515727410359,-495.5256304161089,475.0545989612882,0.9670259145937034
11,46,1.5607902878488744,-478.61300120782636,481.7345817835241,0.9949168688315937
12,46,-4.466535401873614,-485.86166226964787,476.92859146590064,0.9854911394319424
13,46,-7.010996468518897,-525.844224206405,511.8222312693672,0.9788704937685602
14,46,10.173168374300303,-472.99651487527336,493.34285162387397,0.9670829083373002
15,46,-50.13253086088656,-541.0817728718762,440.816711150103,0.8413720884603861
16,46,-53.12480216766829,-552.9406420627588,446.69103772742227,0.8349774556874107
17,46,-28.575509534579396,-529.1545238384697,472.00350476931084,0.9109150867434613
18,46,-34.46263920752216,-553.8928811723258,484.96760275728144,0.8965365726888913
19,46,-7.7331095652494355,-494.8045745171057,479.33835538660685,0.9751755552205599
20,46,-9.398027822322774,-502.06626364937404,483.2702080047285,0.9701757764481795
21,46,-3.2108423092165594,-489.0808194008821,482.659134782449,0.9896658461529576
22,46,-5.788521209054636,-488.9889262232902,477.41188380518093,0.9812678084625038
23,46,-14.442657392724755,-503.23909586829745,474.35378108284795,0.953818872865741
24,46,-10.216988702777144,-494.4325759145319,473.99859850897764,0.9670125670242239
25,46,-12.596612365526994,-508.83497626002554,483.64175152897155,0.9603199286287907
26,46,-16.61927755613874,-502.0249421483653,468.78638703608783,0.946498050571672
27,46,-61.83230366853593,-595.2616967268044,471.59708938973256,0.820277075411087
28,46,-3.5360863913477942,-503.8381917048997,496.7660189222041,0.98894739119647
29,46,-6.583932079186411,-491.9627533444464,478.7948891860736,0.9787899587412975
30,46,-107.88336788559786,-590.1085539450895,374.3418181738938,0.6610362369986826
31,46,6.7422719834435725,-478.66805795517047,492.1526019220576,0.978281403112351
32,46,-1.8514629506379947,-484.529417895966,480.82649199469,0.9940015143637955
33,46,50.30094525636673,-413.78165299974984,514.3835435124834,0.8317665829185357
34,46,-89.33109803020858,-560.089629473988,381.42743341357084,0.70995048128129
35,46,29.625597710801287,-487.00144643226207,546.2526418538646,0.910512049120395
36,46,9.582499407917112,-475.43439444979003,494.59939326562426,0.9691111625939713
37,46,47.32135186095081,-427.77056353300145,522.4132672549031,0.8452195664509994
38,46,-14.308918008736555,-513.8552835446278,485.23744752715476,0.9552295914692258
39,46,92.75079570049576,-364.13112346401806,549.6327148650096,0.6907121230647535
40,46,-16.45183199938515,-500.5864320887957,467.6827680900254,0.946897459052989
41,46,36.24118515065851,-457.105671691475,529.588041992792,0.8855173236350836
42,46,22.778089634040157,-470.4462213552756,516.0024006233559,0.9278779153014277
43,46,10.1415325409003,-477.60447589442214,497.88754097622274,0.9674929306290746
44,46,-37.34391916543211,-521.2745460461102,446.586707715246,0.8797813959089881
45,46,1.1326853161343706,-500.90141996083844,503.1667905931072,0.9964717220874278
46,46,-45.39200292187596,-546.1201246551637,455.3361188114119,0.8589784993150132
47,46,-9.299138581042087,-492.8354262493532,474.237149087269,0.9699323856347862
