model,variable,coef,se,ci_low,ci_high,p_value,se_type,coef_type,denominator
O-A,original_elderly_solo_household_pct,656.2215828921608,168.02916748463673,326.8904662700241,985.5526995142975,9.406856010104171e-05,HC3,unstandardized,primary_2023_population
O-A,original_elderly_solo_household_pct,656.2215828921608,160.15929310848924,333.64420788159185,978.7989579027296,0.00017209613467507453,classical_ols,unstandardized,primary_2023_population
O-A,original_elderly_solo_household_pct,0.5212506389896157,,0.259655989478274,0.7828452885009574,9.406856010104392e-05,HC3,standardized,primary_2023_population
O-B,original_elderly_solo_household_pct,306.1424530064647,192.55179411257666,-71.25212861275719,683.5370346256866,0.11185224818534638,HC3,unstandardized,primary_2023_population
O-B,ageing_rate_pct,318.7843252104793,72.98254168640425,175.74117200493387,461.82747841602475,1.2541636860031791e-05,HC3,unstandardized,primary_2023_population
O-B,original_elderly_solo_household_pct,306.1424530064647,189.59276968908011,-75.95666737389183,688.2415733868212,0.11351703018925959,classical_ols,unstandardized,primary_2023_population
O-B,ageing_rate_pct,318.7843252104793,107.94202158664947,101.2414749848372,536.3271754361215,0.005030319762880357,classical_ols,unstandardized,primary_2023_population
O-B,original_elderly_solo_household_pct,0.24317540509436747,,-0.056597068028579,0.5429478782173139,0.11185224818534532,HC3,standardized,primary_2023_population
O-B,ageing_rate_pct,0.44475851618754914,,0.245188915240321,0.6443281171347772,1.2541636860032186e-05,HC3,standardized,primary_2023_population
O-C,original_elderly_solo_household_pct,94.09053446984012,202.30928981114184,-302.428387297874,490.60945623755424,0.6418722919828811,HC3,unstandardized,primary_2023_population
O-C,ageing_rate_pct,232.34340521750076,89.60134685229131,56.72799242072844,407.9588180142731,0.00951208121523059,HC3,unstandardized,primary_2023_population
O-C,general_hospital_beds_per_100k,5.147091947099294,3.065375004640586,-0.8609326611055561,11.155116555304144,0.09313123551052044,HC3,unstandardized,primary_2023_population
O-C,original_elderly_solo_household_pct,94.09053446984012,228.80553256641642,-367.3397981970197,555.5208671367,0.6829500145512026,classical_ols,unstandardized,primary_2023_population
O-C,ageing_rate_pct,232.34340521750076,119.0986024599571,-7.8418173024304565,472.528627737432,0.05761098569797094,classical_ols,unstandardized,primary_2023_population
O-C,general_hospital_beds_per_100k,5.147091947099294,3.222904033341524,-1.352513475800448,11.646697369999035,0.11758167127805584,classical_ols,unstandardized,primary_2023_population
O-C,original_elderly_solo_household_pct,0.07473809532311428,,-0.24022524439510923,0.38970143504133775,0.6418722919828762,HC3,standardized,primary_2023_population
O-C,ageing_rate_pct,0.32415868654228724,,0.07914522685105083,0.5691721462335236,0.009512081215229883,HC3,standardized,primary_2023_population
O-C,general_hospital_beds_per_100k,0.3199219162316682,,-0.053512008240411135,0.6933558407037476,0.09313123551052259,HC3,standardized,primary_2023_population
O-D,original_elderly_solo_household_pct,-9.410358391724003,247.19253676161364,-493.89882769158004,475.07811090813203,0.9696327138941258,HC3,unstandardized,primary_2023_population
O-D,ageing_rate_pct,363.2260369143543,190.69083013859773,-10.521122339342298,736.9731961680509,0.05680733980873866,HC3,unstandardized,primary_2023_population
O-D,general_hospital_beds_per_100k,5.158800657231091,3.1836262574291716,-1.0809921475661275,11.398593462028309,0.10514282839700166,HC3,unstandardized,primary_2023_population
O-D,wbgt_days_ge28,44.08938856304789,43.14965349964372,-40.482378241636496,128.66115536773228,0.3068857437665191,HC3,unstandardized,primary_2023_population
O-D,original_elderly_solo_household_pct,-9.410358391724003,228.51093431268092,-470.5640938220927,451.74337703864467,0.967346575242224,classical_ols,unstandardized,primary_2023_population
O-D,ageing_rate_pct,363.2260369143543,134.27100997203894,92.25616847082972,634.1959053578789,0.009820196126947994,classical_ols,unstandardized,primary_2023_population
O-D,general_hospital_beds_per_100k,5.158800657231091,3.1274089928521125,-1.1525662084736146,11.470167522935796,0.10649665693055524,classical_ols,unstandardized,primary_2023_population
O-D,wbgt_days_ge28,44.08938856304789,23.026190160339194,-2.3793444851507246,90.5581216112465,0.062352113873751835,classical_ols,unstandardized,primary_2023_population
O-D,original_elderly_solo_household_pct,-0.007474846077430833,,-0.3923142521399928,0.3773645599851312,0.9696327138941292,HC3,standardized,primary_2023_population
O-D,ageing_rate_pct,0.5067622854795295,,-0.014678760497981114,1.02820333145704,0.05680733980874106,HC3,standardized,primary_2023_population
O-D,general_hospital_beds_per_100k,0.3206496811561127,,-0.06718999443474993,0.7084893567469753,0.10514282839700181,HC3,standardized,primary_2023_population
O-D,wbgt_days_ge28,0.259794235372526,,-0.2385401304966714,0.7581286012417234,0.30688574376653144,HC3,standardized,primary_2023_population
O-A,original_elderly_solo_household_pct,723.3652289906804,176.44728810638858,377.53489913239616,1069.1955588489645,4.1384529242567125e-05,HC3,unstandardized,legacy_2020_population
O-A,original_elderly_solo_household_pct,723.3652289906804,172.20802422907911,376.52046379841727,1070.2099941829435,0.00012427696926277411,classical_ols,unstandardized,legacy_2020_population
O-A,original_elderly_solo_household_pct,0.5307168706500576,,0.27698890159304507,0.78444483970707,4.138452924256835e-05,HC3,standardized,legacy_2020_population
O-B,original_elderly_solo_household_pct,310.1794600767132,202.66859783524782,-87.0436924776049,707.4026126310314,0.12589890676841278,HC3,unstandardized,legacy_2020_population
O-B,ageing_rate_pct,376.24963982519887,76.2342372142572,226.83328049637166,525.665999154026,7.996953181406117e-07,HC3,unstandardized,legacy_2020_population
O-B,original_elderly_solo_household_pct,310.1794600767132,199.67263412459474,-92.23429224176834,712.5932123951948,0.12748214611562483,classical_ols,unstandardized,legacy_2020_population
O-B,ageing_rate_pct,376.24963982519887,113.68085301082847,147.14093483206747,605.3583448183302,0.0018698154870741095,classical_ols,unstandardized,legacy_2020_population
O-B,original_elderly_solo_household_pct,0.22757172420566915,,-0.06386200805642392,0.5190054564677622,0.1258989067684116,HC3,standardized,legacy_2020_population
O-B,ageing_rate_pct,0.48485578393095263,,0.2923097231077588,0.6774018447541464,7.996953181406293e-07,HC3,standardized,legacy_2020_population
O-C,original_elderly_solo_household_pct,76.48662029802654,212.59134328205576,-340.1847559597939,493.157996555847,0.719009877818324,HC3,unstandardized,legacy_2020_population
O-C,ageing_rate_pct,280.9870069490312,93.69348308594157,97.351154514473,464.62285938358934,0.002708649234294868,HC3,unstandardized,legacy_2020_population
O-C,general_hospital_beds_per_100k,5.672377510283617,3.188547259456428,-0.5770602812548731,11.921815301822107,0.07524223333894887,HC3,unstandardized,legacy_2020_population
O-C,original_elderly_solo_household_pct,76.48662029802654,240.29032313688808,-408.10499992206877,561.0782405181219,0.7517912950987902,classical_ols,unstandardized,legacy_2020_population
O-C,ageing_rate_pct,280.9870069490312,125.07670312538323,28.74579545093644,533.228218447126,0.029860058645825797,classical_ols,unstandardized,legacy_2020_population
O-C,general_hospital_beds_per_100k,5.672377510283617,3.384676248534404,-1.1534726770474109,12.498227697614645,0.10101544284868305,classical_ols,unstandardized,legacy_2020_population
O-C,original_elderly_solo_household_pct,0.056116520596114244,,-0.2495859379054565,0.361818979097685,0.7190098778183196,HC3,standardized,legacy_2020_population
O-C,ageing_rate_pct,0.36209516530561875,,0.12545200139095966,0.5987383292202778,0.0027086492342946623,HC3,standardized,legacy_2020_population
O-C,general_hospital_beds_per_100k,0.3256539620654826,,-0.03312931246211942,0.6844372365930846,0.07524223333895083,HC3,standardized,legacy_2020_population
O-D,original_elderly_solo_household_pct,-31.778403941592728,257.69178859532286,-536.845028700135,473.28822081694955,0.9018541570231777,HC3,unstandardized,legacy_2020_population
O-D,ageing_rate_pct,417.8941475681745,199.68239891150085,26.523837355072715,809.2644577812763,0.03636753817040428,HC3,unstandardized,legacy_2020_population
