analysis,n,exposure_coef,ci_low,ci_high,p_value
O-D_reference,47,-9.410358391724003,-493.89882769158004,475.07811090813203,0.9696327138941258
O-C_beds_to_clinics,47,55.64768238933334,-304.943432313765,416.2387970924317,0.7622949434849801
O-D_beds_to_clinics,47,-35.57488553357723,-361.74302578899875,290.5932547218443,0.8307251509490738
O-D_add_log_population_density,47,-63.19530926468849,-701.3558990280287,574.9652804986517,0.8461054836288469
O-D_exclude_tokyo_osaka_kanagawa,44,-42.02456984160847,-645.6263772792236,561.5772375960066,0.8914587694142013
O-D_log_transform_outcome,47,-0.011123326267917066,-0.07051875766382257,0.04827210512798844,0.7135788868958312
O-D_population_weighted_wls,47,91.77956177762206,-469.8452108827693,653.4043344380134,0.7487460235424352
O-D_heat_metric_wbgt_days_ge31,47,96.2293194989386,-304.63183026117014,497.0904692590473,0.6379963561421107
O-D_heat_metric_wbgt_days_ge33,47,-25.46838220666075,-436.4721378597486,385.5353734464271,0.9033332556708046
O-D_heat_metric_wbgt_cumulative_excess_28,47,90.58382383149706,-320.51985691905116,501.6875045820453,0.6658399916436113
