variable,VIF,model,denominator
original_elderly_solo_household_pct,,O-A,primary_2023_population
original_elderly_solo_household_pct,1.6417917887425597,O-B,primary_2023_population
ageing_rate_pct,1.6417917887425602,O-B,primary_2023_population
original_elderly_solo_household_pct,2.475416399648146,O-C,primary_2023_population
ageing_rate_pct,2.069145346273028,O-C,primary_2023_population
general_hospital_beds_per_100k,3.0073357690537708,O-C,primary_2023_population
original_elderly_solo_household_pct,2.622142198288736,O-D,primary_2023_population
ageing_rate_pct,2.792989005677107,O-D,primary_2023_population
general_hospital_beds_per_100k,3.007347266684325,O-D,primary_2023_population
wbgt_days_ge28,1.4651602554167238,O-D,primary_2023_population
original_elderly_solo_household_pct,,O-A,legacy_2020_population
original_elderly_solo_household_pct,1.6417917887425597,O-B,legacy_2020_population
ageing_rate_pct,1.6417917887425602,O-B,legacy_2020_population
original_elderly_solo_household_pct,2.475416399648146,O-C,legacy_2020_population
ageing_rate_pct,2.069145346273028,O-C,legacy_2020_population
general_hospital_beds_per_100k,3.0073357690537708,O-C,legacy_2020_population
original_elderly_solo_household_pct,2.622142198288736,O-D,legacy_2020_population
ageing_rate_pct,2.792989005677107,O-D,legacy_2020_population
general_hospital_beds_per_100k,3.007347266684325,O-D,legacy_2020_population
wbgt_days_ge28,1.4651602554167238,O-D,legacy_2020_population
