file,forbidden_phrase,found
manuscript_main_IJB_major_revision_clean.docx,socially blind,False
manuscript_main_IJB_major_revision_clean.docx,social isolation was the only ecological factor,False
manuscript_main_IJB_major_revision_clean.docx,social factors outperformed climatic indicators,False
manuscript_main_IJB_major_revision_clean.docx,six-fold stronger,False
manuscript_main_IJB_major_revision_clean.docx,sixfold stronger,False
manuscript_main_IJB_major_revision_clean.docx,dehydration-related healthcare utilization,False
manuscript_main_IJB_major_revision_clean.docx,ageing completely explained,False
manuscript_main_IJB_major_revision_clean.docx,no association exists,False
manuscript_main_IJB_major_revision_clean.docx,10.1007/s12199-011-0267-9,False
manuscript_main_IJB_major_revision_clean.docx,8ee5a987b9ec70631de1977bde3afd7ebc11140d,False
manuscript_main_IJB_major_revision_clean.docx,codex,False
manuscript_main_IJB_major_revision_clean.docx,c:\users,False
manuscript_main_IJB_major_revision_clean.docx,methodological contribution,False
manuscript_main_IJB_major_revision_clean.docx,prefecture-level measures of older adults living alone,False
manuscript_main_IJB_major_revision_clean.docx,accounting for population age structure and heat exposure,False
manuscript_main_IJB_major_revision_clean.docx,0.169,False
manuscript_main_IJB_major_revision_clean.docx,作成者,False
manuscript_main_IJB_major_revision_marked.docx,socially blind,False
manuscript_main_IJB_major_revision_marked.docx,social isolation was the only ecological factor,False
manuscript_main_IJB_major_revision_marked.docx,social factors outperformed climatic indicators,False
manuscript_main_IJB_major_revision_marked.docx,six-fold stronger,False
manuscript_main_IJB_major_revision_marked.docx,sixfold stronger,False
manuscript_main_IJB_major_revision_marked.docx,dehydration-related healthcare utilization,False
manuscript_main_IJB_major_revision_marked.docx,ageing completely explained,False
manuscript_main_IJB_major_revision_marked.docx,no association exists,False
manuscript_main_IJB_major_revision_marked.docx,10.1007/s12199-011-0267-9,False
manuscript_main_IJB_major_revision_marked.docx,8ee5a987b9ec70631de1977bde3afd7ebc11140d,False
manuscript_main_IJB_major_revision_marked.docx,codex,False
manuscript_main_IJB_major_revision_marked.docx,c:\users,False
manuscript_main_IJB_major_revision_marked.docx,methodological contribution,False
manuscript_main_IJB_major_revision_marked.docx,prefecture-level measures of older adults living alone,False
manuscript_main_IJB_major_revision_marked.docx,accounting for population age structure and heat exposure,False
manuscript_main_IJB_major_revision_marked.docx,0.169,False
manuscript_main_IJB_major_revision_marked.docx,作成者,False
response_to_reviewers.docx,socially blind,True
response_to_reviewers.docx,social isolation was the only ecological factor,False
response_to_reviewers.docx,social factors outperformed climatic indicators,True
response_to_reviewers.docx,six-fold stronger,False
response_to_reviewers.docx,sixfold stronger,False
response_to_reviewers.docx,dehydration-related healthcare utilization,True
response_to_reviewers.docx,ageing completely explained,False
response_to_reviewers.docx,no association exists,False
response_to_reviewers.docx,10.1007/s12199-011-0267-9,False
response_to_reviewers.docx,8ee5a987b9ec70631de1977bde3afd7ebc11140d,False
response_to_reviewers.docx,codex,False
response_to_reviewers.docx,c:\users,False
response_to_reviewers.docx,methodological contribution,False
response_to_reviewers.docx,prefecture-level measures of older adults living alone,False
response_to_reviewers.docx,accounting for population age structure and heat exposure,False
response_to_reviewers.docx,0.169,False
response_to_reviewers.docx,作成者,False
online_resource_1_revised.docx,socially blind,False
online_resource_1_revised.docx,social isolation was the only ecological factor,False
online_resource_1_revised.docx,social factors outperformed climatic indicators,False
online_resource_1_revised.docx,six-fold stronger,False
online_resource_1_revised.docx,sixfold stronger,False
online_resource_1_revised.docx,dehydration-related healthcare utilization,False
online_resource_1_revised.docx,ageing completely explained,False
online_resource_1_revised.docx,no association exists,False
online_resource_1_revised.docx,10.1007/s12199-011-0267-9,False
online_resource_1_revised.docx,8ee5a987b9ec70631de1977bde3afd7ebc11140d,False
online_resource_1_revised.docx,codex,False
online_resource_1_revised.docx,c:\users,False
online_resource_1_revised.docx,methodological contribution,False
online_resource_1_revised.docx,prefecture-level measures of older adults living alone,False
online_resource_1_revised.docx,accounting for population age structure and heat exposure,False
online_resource_1_revised.docx,0.169,False
online_resource_1_revised.docx,作成者,False
cover_letter_revision.docx,socially blind,True
cover_letter_revision.docx,social isolation was the only ecological factor,False
cover_letter_revision.docx,social factors outperformed climatic indicators,False
cover_letter_revision.docx,six-fold stronger,False
cover_letter_revision.docx,sixfold stronger,False
cover_letter_revision.docx,dehydration-related healthcare utilization,False
cover_letter_revision.docx,ageing completely explained,False
cover_letter_revision.docx,no association exists,False
cover_letter_revision.docx,10.1007/s12199-011-0267-9,False
cover_letter_revision.docx,8ee5a987b9ec70631de1977bde3afd7ebc11140d,False
cover_letter_revision.docx,codex,False
cover_letter_revision.docx,c:\users,False
cover_letter_revision.docx,methodological contribution,False
cover_letter_revision.docx,prefecture-level measures of older adults living alone,False
cover_letter_revision.docx,accounting for population age structure and heat exposure,False
cover_letter_revision.docx,0.169,False
cover_letter_revision.docx,作成者,False
