original_citation,original_doi,verified_doi,crossref_status,crossref_title_of_original_doi,action
"Bach AJE, Cunningham SJK, Morris NR, Xu Z, Rutherford S, Binnewies S, et al (202",10.1080/23328940.2023.2242062,10.1080/23328940.2023.2242062,RESOLVED,Experimental research in environmentally induced hyperthermic older persons: A systematic quantitative literature review mapping the available evidence,OK - DOI resolves and title matches citation
"Berkman ND, Sheridan SL, Donahue KE, Halpern DJ, Crotty K (2011) Low health lite",10.7326/0003-4819-155-2-201107190-00005,10.7326/0003-4819-155-2-201107190-00005,RESOLVED,Low Health Literacy and Health Outcomes: An Updated Systematic Review,OK - DOI resolves and title matches citation
Blatteis CM (2012) Age-dependent changes in temperature regulation - a mini revi,10.1159/000333148,10.1159/000333148,RESOLVED,Age-Dependent Changes in Temperature Regulation – A Mini Review,OK - DOI resolves and title matches citation
"Blazejczyk K, Epstein Y, Jendritzky G, Staiger H, Tinz B (2012) Comparison of UT",10.1007/s00484-011-0453-2,10.1007/s00484-011-0453-2,RESOLVED,Comparison of UTCI to selected thermal indices,OK - DOI resolves and title matches citation
"Bouchama A, Knochel JP (2002) Heat stroke. N Engl J Med 346:1978-1988. https://d",10.1056/NEJMra011086,10.1056/NEJMra011089,HTTP_404,"(mismatched article title, see note)",CORRECTED (found by reference audit)
"Canouï-Poitrine F, Cadot E, Spira A, Groupe Régional Canicule (2006) Excess deat",10.1016/S0398-7620(06)76706-2,10.1016/S0398-7620(06)76706-2,RESOLVED,"Excess deaths during the August 2003 heat wave in Paris, France",OK - DOI resolves and title matches citation
"Conti S, Meli P, Minelli G, et al (2005) Epidemiologic study of mortality during",10.1016/j.envres.2004.12.009,10.1016/j.envres.2004.10.009,RESOLVED,"Effects of Asian dust storm events on daily stroke admissions in Taipei, Taiwan",CORRECTED (found by reference audit): original DOI resolved to an unrelated Taipei dust-storm/stroke paper
"Farbotko C, Waitt G (2011) Residential air-conditioning and climate change: voic",10.1071/HE10013,10.1071/HE11413,HTTP_404,"(mismatched article title, see note)",CORRECTED (found by reference audit)
Fire and Disaster Management Agency (2023) Daily number of patients with heatstr,,"(no DOI; government/organizational source, verify URL manually)",NO_DOI,,"NO_DOI - not a CrossRef-indexed journal article; URL-based citation, not independently re-verified in this pass"
"Günsche S, Borg MA, Anikeeva O, Varghese BM, Li Y, Bhandari D, et al (2026) Mort",10.1016/j.envint.2026.110129,10.1016/j.envint.2026.110129,RESOLVED,"Mortality, morbidity and healthcare costs of short-term high temperatures and heatwaves exposure in older populations: a global systematic review and meta-analysis",OK - DOI resolves and title matches citation
"Harlan SL, Declet-Barreto JH, Stefanov WL, Petitti DB (2013) Neighborhood effect",10.1289/ehp.1103532,10.1289/ehp.1104625,RESOLVED,The Impact of Heat Islands on Mortality in Paris during the August 2003 Heat Wave,CORRECTED (found by reference audit): original DOI resolved to an unrelated Paris heat-island paper
"Hondula DM, Balling RC, Andrade R, Krayenhoff ES, Middel A, Urban A, Georgescu M",10.1007/s00484-017-1412-3,10.1007/s00484-017-1412-3,RESOLVED,Biometeorology for cities,OK - DOI resolves and title matches citation
Intergovernmental Panel on Climate Change (IPCC) (2021) Climate Change 2021: The,,"(no DOI; government/organizational source, verify URL manually)",NO_DOI,,"NO_DOI - not a CrossRef-indexed journal article; URL-based citation, not independently re-verified in this pass"
