variable,source_url,publisher,table_id,retrieved_at_utc,file_size_bytes,sha256,license_note,output_file
"total_population_2023, population_65plus_2023, ageing_rate_pct",https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?statsDataId=0004012968,総務省統計局 人口推計（令和2年国勢調査基準）参考表022,0004012968,2026-08-01T01:48:21.311687+00:00,99980,181a736192633ced6408b6da9b71359bd3126352493c0815e3eb30c61340d52e,政府統計の総合窓口(e-Stat) 利用規約に基づく公開データ,02_Data\interim\major_revision\pop2023_by_prefecture.csv
"total_population_2020_census, population_65plus_2020",https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?statsDataId=0003410381,総務省統計局 時系列データ「男女，年齢，配偶関係」（令和2年国勢調査）,0003410381,2026-08-01T01:53:02.552455+00:00,16537,1480857d88a4b8db1a7ab5aa452e31b766e7812ee948e5ac4757779ec5c8d242,政府統計の総合窓口(e-Stat) 利用規約に基づく公開データ,02_Data\interim\major_revision\census2020_age65_by_prefecture.csv
solo_65plus_persons_2020,https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?statsDataId=0003445170,"総務省統計局 令和2年国勢調査 人口等基本集計（表22-4, 再掲R3）",0003445170,2026-08-01T01:54:58.429050+00:00,220098,29f691a586dc4b8aa78bfa540b2402bc8b3155485d363486fca7a99ec2c7874e,政府統計の総合窓口(e-Stat) 利用規約に基づく公開データ,02_Data\interim\major_revision\census2020_solo65_by_prefecture.csv
general_hospital_beds_per_100k,https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?statsDataId=0004024814,厚生労働省 令和5年医療施設調査 都道府県編（第15表 人口10万対病床数）,0004024814,2026-08-01T02:04:20.993497+00:00,12401,2ac0e8418ddfedb19267a14892c8cff2d1e668f4d80a31b590b6c7a14b02a60c,政府統計の総合窓口(e-Stat) 利用規約に基づく公開データ,02_Data\interim\major_revision\healthcare_supply_2023.csv
"general_clinics_count, general_clinics_per_100k",https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?statsDataId=0004024824,厚生労働省 令和5年医療施設調査 都道府県編（第25表 一般診療所数）,0004024824,2026-08-01T02:04:20.998950+00:00,12171,8bbe814f8f592c18c9e4a90685b33a485848715318a633c58eb5f5eecbcc6a1a,政府統計の総合窓口(e-Stat) 利用規約に基づく公開データ,02_Data\interim\major_revision\healthcare_supply_2023.csv
"population_density_per_km2, log_population_density",https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?statsDataId=0000010201,総務省統計局 都道府県データ 社会生活統計指標（#A01201 総面積1km2あたり人口密度）,0000010201,2026-08-01T02:11:15.871238+00:00,6775,f6be4da4526299b70264a32c0826f377068a94e64cf6c8925269c80ca83d0a8c,政府統計の総合窓口(e-Stat) 利用規約に基づく公開データ,02_Data\interim\major_revision\population_density_2023.csv
"wbgt_hourly_by_station (raw hourly WBGT per AMeDAS site, Jun-Sep 2023)",https://www.wbgt.env.go.jp/api/v1/getSurveyData,環境省 熱中症予防情報サイト 実況値データ取得API (getSurveyData),wbgt_survey_api_v1,2026-08-01T02:23:22.863895+00:00,2462448,see individual chunk files under 02_Data/raw/major_revision/env_wbgt_2023/,環境省 熱中症予防情報サイト 利用規約に基づく公開データ,02_Data\interim\major_revision\wbgt_hourly_by_station.csv
G004 public file structure audit (raw HTML),https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000177221_00016.html,厚生労働省 第10回NDBオープンデータ公式ページ,ndb10_index_page,2026-08-01T13:00:00+00:00,122568,1cf603a602b64a1fafb38c6d971b36b6c6545b8eaf277521375f1cd75cb25781,厚生労働省ウェブサイト利用規約に基づく公開データ,02_Data/raw/major_revision/ndb10_g004_audit/ndb10_official_page_20260801.html
G004 audit - G-injection 4 marginal files (性年齢別/都道府県別/診療月別/二次医療圏別),https://www.mhlw.go.jp/content/12400000/001493140-143.xlsx,厚生労働省 第10回NDBオープンデータ (G注射),001493140_143,2026-08-01T13:06:00+00:00,321272,see g004_public_file_inventory.csv for individual per-file hashes,厚生労働省ウェブサイト利用規約に基づく公開データ,02_Data/raw/major_revision/ndb10_g004_audit/001493140-143.xlsx
"legacy_infusion_rate_per100k (exact submitted 2020 population denominator, reused)","N/A (derived from existing 02_Data/interim/prefecture_population_2020.csv, e-Stat 0003445170)",既存パイプライン (Work Order 01 以前から存在),0003445170,2026-08-01T14:00:00+00:00,,,政府統計の総合窓口(e-Stat) 利用規約に基づく公開データ,02_Data/interim/major_revision/legacy_outcome_2020denominator.csv
